movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,831443
这个杀手不太冷,2,9.4,797617
霸王别姬,3,9.5,594396
阿甘正传,4,9.4,683462
美丽人生,5,9.5,397169
千与千寻,6,9.2,635059
辛德勒的名单,7,9.4,367448
泰坦尼克号,8,9.2,628786
盗梦空间,9,9.2,736581
机器人总动员,10,9.3,483494
海上钢琴师,11,9.2,580961
三傻大闹宝莱坞,12,9.1,647203
忠犬八公的故事,13,9.2,434234
放牛班的春天,14,9.2,435382
大话西游之大圣娶亲,15,9.2,468696
教父,16,9.2,331810
龙猫,17,9.1,403551
楚门的世界,18,9.0,432354
乱世佳人,19,9.2,262734
天堂电影院,20,9.1,300507
当幸福来敲门,21,8.9,521022
触不可及,22,9.1,353097
搏击俱乐部,23,9.0,393545
十二怒汉,24,9.3,164268
无间道,25,9.0,382012
熔炉,26,9.2,234346
指环王3：王者无敌,27,9.1,276188
怦然心动,28,8.9,520762
天空之城,29,9.0,320063
罗马假日,30,8.9,373130
少年派的奇幻漂流,31,9.0,560837
鬼子来了,32,9.1,217696
星际穿越,33,9.1,461629
大话西游之月光宝盒,34,8.9,380390
蝙蝠侠：黑暗骑士,35,9.0,303831
两杆大烟枪,36,9.0,264925
飞屋环游记,37,8.9,482125
活着,38,9.0,252720
飞越疯人院,39,9.0,268585
窃听风暴,40,9.1,212525
海豚湾,41,9.3,176765
闻香识女人,42,8.9,309045
V字仇杀队,43,8.8,396293
美丽心灵,44,8.9,293631
教父2,45,9.1,178922
哈尔的移动城堡,46,8.8,332055
指环王2：双塔奇兵,47,8.9,260872
指环王1：魔戒再现,48,8.9,291141
天使爱美丽,49,8.7,465009
情书,50,8.8,357989
死亡诗社,51,8.9,264006
美国往事,52,9.1,166902
七宗罪,53,8.7,419237
钢琴家,54,9.0,194671
狮子王,55,8.9,269504
控方证人,56,9.6,76076
辩护人,57,9.1,186501
被嫌弃的松子的一生,58,8.9,264055
致命魔术,59,8.8,324365
勇敢的心,60,8.8,285800
剪刀手爱德华,61,8.7,464316
饮食男女,62,9.0,179559
小鞋子,63,9.2,129159
音乐之声,64,8.9,222350
低俗小说,65,8.7,316581
入殓师,66,8.8,307541
本杰明·巴顿奇事,67,8.7,376236
沉默的羔羊,68,8.7,335006
蝴蝶效应,69,8.7,363845
黑客帝国,70,8.8,265502
拯救大兵瑞恩,71,8.8,223330
素媛,72,9.1,161787
西西里的美丽传说,73,8.7,325303
玛丽和马克思,74,8.9,225245
心灵捕手,75,8.7,255570
幽灵公主,76,8.8,222703
第六感,77,8.8,221647
阳光灿烂的日子,78,8.7,256282
春光乍泄,79,8.8,229050
让子弹飞,80,8.7,594443
大闹天宫,81,9.2,91250
大鱼,82,8.7,238543
射雕英雄传之东成西就,83,8.7,260921
重庆森林,84,8.6,307896
阳光姐妹淘,85,8.8,253840
上帝之城,86,8.9,151053
甜蜜蜜,87,8.7,221209
禁闭岛,88,8.6,336875
致命ID,89,8.6,298593
疯狂动物城,90,9.2,459931
告白,91,8.6,321352
一一,92,8.9,145153
加勒比海盗,93,8.6,321288
狩猎,94,9.0,114418
爱在黎明破晓前,95,8.7,205970
布达佩斯大饭店,96,8.7,285646
断背山,97,8.6,300941
阿凡达,98,8.6,502943
风之谷,99,8.8,166166
摩登时代,100,9.2,80976
猫鼠游戏,101,8.7,204279
萤火虫之墓,102,8.7,192955
末代皇帝,103,8.8,149749
爱在日落黄昏时,104,8.7,187494
侧耳倾听,105,8.8,156860
哈利·波特与魔法石,106,8.6,231589
驯龙高手,107,8.7,268425
超脱,108,8.7,160929
海洋,109,9.0,95346
幸福终点站,110,8.6,214518
穿条纹睡衣的男孩,111,8.8,128880
菊次郎的夏天,112,8.7,167173
消失的爱人,113,8.7,325882
